Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,lat,lng
118,환경부(한국자동차환경협회),남양주소방서,21,DC콤보,경기도,남양주시,경기도 남양주시 평내로 25,제한없음,평내로 25,37.6433215355939,127.232240174107
119,환경부(한국자동차환경협회),남양주소방서,22,DC콤보,경기도,남양주시,경기도 남양주시 평내로 25,제한없음,평내로 25,37.6433215355939,127.232240174107
121,환경부(한국자동차환경협회),노작공원,1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 노작로226-26,제한없음,작로226-26,37.2066652784277,127.078931897875
122,환경부(한국자동차환경협회),노작공원,2,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 노작로226-26,제한없음,작로226-26,37.2066652784277,127.078931897875
123,환경부(한국자동차환경협회),논골공영주차장 (구)논골선경공영,1,DC콤보,경기도,성남시,경기도 성남시 수정구 단대동 산 164-3,제한없음,정구 단대동 산 164-3,37.4614212560135,127.156375970163
126,환경부(한국자동차환경협회),다산진건지구 공영주차타워,1,DC콤보,경기도,남양주시,경기도 남양주시 다산동 6148,제한없음,다산동 6148,37.6143014296102,127.154783909062
127,환경부(한국자동차환경협회),다산행정복지센터,1,DC차데모+AC3상+DC콤보,경기도,남양주시,경기도 남양주시 다산중앙로 7,제한없음,다산중앙로 7,37.6139032672354,127.155344522441
128,환경부(한국자동차환경협회),단대공원공영주차장,1,DC콤보,경기도,성남시,경기도 성남시 수정구 산성동 508,제한없음,정구 산성동 508,37.4565714157626,127.15559900321
129,환경부(한국자동차환경협회),단대동제1공영주차장,1,DC콤보,경기도,성남시,경기도 성남시 수정구 단대동 27-1,제한없음,정구 단대동 27-1,37.4587854982779,127.158628882364
132,환경부(한국자동차환경협회),대곶면행정복지센터,21,DC콤보,경기도,김포시,경기도 김포시 대곶면 율생로 83-23,제한없음,곶면 율생로 83-23,37.6490914233943,126.581900334628
133,환경부(한국자동차환경협회),대곶면행정복지센터,22,DC콤보,경기도,김포시,경기도 김포시 대곶면 율생로 83-23,제한없음,곶면 율생로 83-23,37.6490914233943,126.581900334628
139,환경부(한국자동차환경협회),대신면 문화복지센터,21,DC콤보,경기도,여주시,경기도 여주시 대신면 율촌1길 12-9,제한없음,신면 율촌1길 12-9,37.3715069245105,127.585158119356
140,환경부(한국자동차환경협회),대신면 문화복지센터,22,DC콤보,경기도,여주시,경기도 여주시 대신면 율촌1길 12-9,제한없음,신면 율촌1길 12-9,37.3715069245105,127.585158119356
141,환경부(한국자동차환경협회),대원천공영주차장,1,DC콤보,경기도,성남시,경기도 성남시 중원구 성남동 4596,제한없음,원구 성남동 4596,37.4281140253114,127.119370701465
142,환경부(한국자동차환경협회),대월체육공원,21,DC콤보,경기도,이천시,경기도 이천시 대월면 대산로 125,제한없음,월면 대산로 125,37.2323919226716,127.474711042947
143,환경부(한국자동차환경협회),대월체육공원,22,DC콤보,경기도,이천시,경기도 이천시 대월면 대산로 125,제한없음,월면 대산로 125,37.2323919226716,127.474711042947
145,환경부(한국자동차환경협회),덕평휴게소(강릉방향),1,DC차데모+AC3상+DC콤보,경기도,이천시,경기도 이천시 마장면 덕이로 154번길 287-76,제한없음,장면 덕이로 154번길 287-76,37.2413744206469,127.393784579939
146,환경부(한국자동차환경협회),덕평휴게소(강릉방향),1,DC차데모+AC3상+DC콤보,경기도,이천시,경기도 이천시 마장면 덕이로154번길 287-76휴게소 정면 좌측 주차장,제한없음,장면 덕이로154번길 287-76휴게소 정면 좌측 주차장(흡연장 옆)(각평리 산21-3),37.2413744206469,127.393784579939
147,환경부(한국자동차환경협회),덕평휴게소(강릉방향),2,DC차데모+AC3상+DC콤보,경기도,이천시,경기도 이천시 마장면 덕이로 154번길 287-76,제한없음,장면 덕이로 154번길 287-76,37.2413744206469,127.393784579939
148,환경부(한국자동차환경협회),덕평휴게소(인천방향),1,DC차데모+AC3상+DC콤보,경기도,이천시,경기도 이천시 마장면 덕이로154번길 287-76휴게소 옥외 장애인 주차장,제한없음,장면 덕이로154번길 287-76휴게소 옥외 장애인 주차장(휴게소 정면 우측 흡연장 앞)(각평리 321-2),37.2413744206469,127.393784579939
149,환경부(한국자동차환경협회),동안구청,1,DC차데모+AC3상+DC콤보,경기도,안양시,경기도 안양시 동안구 동안로 158,제한없음,안구 동안로 158,37.392511597204,126.951210951067
