Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
5904,에버온,광명 쌍마한신아파트,2,AC완속,경기도,광명시,"경기도 광명시 철산로 13-12 (철산동, 쌍마한신아파트)",제한없음,"산로 13-12 (철산동, 쌍마한신아파트)"
5905,에버온,광명역세권휴먼시아5단지501동,1,AC완속,경기도,광명시,"경기도 광명시 서원로 13 (소하동, 광명역세권휴먼시아)501동 C-50기둥",제한없음,"원로 13 (소하동, 광명역세권휴먼시아)501동 C-50기둥"
5906,에버온,광명역세권휴먼시아5단지501동,2,AC완속,경기도,광명시,"경기도 광명시 서원로 13 (소하동, 광명역세권휴먼시아)501동 C-50기둥",제한없음,"원로 13 (소하동, 광명역세권휴먼시아)501동 C-50기둥"
5907,에버온,광명역세권휴먼시아5단지501동,3,AC완속,경기도,광명시,"경기도 광명시 서원로 13 (소하동, 광명역세권휴먼시아)501동 C-50기둥",제한없음,"원로 13 (소하동, 광명역세권휴먼시아)501동 C-50기둥"
5908,에버온,광명역세권휴먼시아5단지508동,1,AC완속,경기도,광명시,"경기도 광명시 서원로 13 (소하동, 광명역세권휴먼시아)508동 D-03기둥",제한없음,"원로 13 (소하동, 광명역세권휴먼시아)508동 D-03기둥"
5909,에버온,광명역세권휴먼시아5단지508동,2,AC완속,경기도,광명시,"경기도 광명시 서원로 13 (소하동, 광명역세권휴먼시아)508동 D-03기둥",제한없음,"원로 13 (소하동, 광명역세권휴먼시아)508동 D-03기둥"
5910,에버온,광명역세권휴먼시아5단지508동,3,AC완속,경기도,광명시,"경기도 광명시 서원로 13 (소하동, 광명역세권휴먼시아)508동 D-03기둥",제한없음,"원로 13 (소하동, 광명역세권휴먼시아)508동 D-03기둥"
5917,에버온,구갈동주민센터,1,AC완속,경기도,용인시,경기도 용인시 기흥구 강남로 23(578 구갈동행정복지센터),제한없음,흥구 강남로 23(578 구갈동행정복지센터)
5918,에버온,구래역화성파크드림아파트,1,AC완속,경기도,김포시,"경기도 김포시 김포한강8로 365 (구래동, 구래역화성파크드림)",제한없음,"포한강8로 365 (구래동, 구래역화성파크드림)"
5919,에버온,구래역화성파크드림아파트,2,AC완속,경기도,김포시,"경기도 김포시 김포한강8로 365 (구래동, 구래역화성파크드림)",제한없음,"포한강8로 365 (구래동, 구래역화성파크드림)"
5920,에버온,구래역화성파크드림아파트,3,AC완속,경기도,김포시,"경기도 김포시 김포한강8로 365 (구래동, 구래역화성파크드림)",제한없음,"포한강8로 365 (구래동, 구래역화성파크드림)"
5921,에버온,구래역화성파크드림아파트,4,AC완속,경기도,김포시,"경기도 김포시 김포한강8로 365 (구래동, 구래역화성파크드림)",제한없음,"포한강8로 365 (구래동, 구래역화성파크드림)"
5922,에버온,구래역화성파크드림아파트,5,AC완속,경기도,김포시,"경기도 김포시 김포한강8로 365 (구래동, 구래역화성파크드림)",제한없음,"포한강8로 365 (구래동, 구래역화성파크드림)"
5940,에버온,구미동 주민센터,1,AC완속,경기도,성남시,경기도 성남시 분당구 구미로 130(구미동 행정복지센터),제한없음,당구 구미로 130(구미동 행정복지센터)
5941,에버온,구성동주민센터,1,AC완속,경기도,용인시,"경기도 용인시 기흥구 구성로77번길 17(342-1 구성동행정복지센터,구성도서관)",제한없음,"흥구 구성로77번길 17(342-1 구성동행정복지센터,구성도서관)"
5944,에버온,군포 당정대우푸르지오102동,1,AC완속,경기도,군포시,"경기도 군포시 당정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 102동방면 L2 기둥",제한없음,"정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 102동방면 L2 기둥"
5945,에버온,군포 당정대우푸르지오102동,2,AC완속,경기도,군포시,"경기도 군포시 당정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 102동방면 L2 기둥",제한없음,"정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 102동방면 L2 기둥"
5946,에버온,군포 당정대우푸르지오102동,3,AC완속,경기도,군포시,"경기도 군포시 당정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 102동방면 L2 기둥",제한없음,"정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 102동방면 L2 기둥"
5947,에버온,군포 당정대우푸르지오105동,1,AC완속,경기도,군포시,"경기도 군포시 당정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 105동방면 I9기둥",제한없음,"정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 105동방면 I9기둥"
5948,에버온,군포 당정대우푸르지오105동,2,AC완속,경기도,군포시,"경기도 군포시 당정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 105동방면 I9기둥",제한없음,"정역로 9 (당정동, 청천마을대우아파트)지하주차장(B1) 105동방면 I9기둥"
5949,에버온,군포부곡 1단지,1,AC완속,경기도,군포시,"경기도 군포시 송부로291번길 30 (부곡동, 휴먼시아)103동, 104동 사이 지하1층 주차장 우측 P-02구역",제한없음,"부로291번길 30 (부곡동, 휴먼시아)103동, 104동 사이 지하1층 주차장 우측 P-02구역"
