Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
5768,에버온,경기평택 힐스테이스평택2차211동,2,AC완속,경기도,평택시,경기도 평택시 세교6로 45211동 지하2층 B54기둥,제한없음,교6로 45211동 지하2층 B54기둥
5769,에버온,경기평택 힐스테이스평택2차211동,3,AC완속,경기도,평택시,경기도 평택시 세교6로 45211동 지하2층 B54기둥,제한없음,교6로 45211동 지하2층 B54기둥
5770,에버온,경기평택 힐스테이스평택2차216동,1,AC완속,경기도,평택시,경기도 평택시 세교6로 45216동 지하1층 SOS기둥,제한없음,교6로 45216동 지하1층 SOS기둥
5771,에버온,경기평택 힐스테이스평택2차216동,2,AC완속,경기도,평택시,경기도 평택시 세교6로 45216동 지하1층 SOS기둥,제한없음,교6로 45216동 지하1층 SOS기둥
5772,에버온,경기평택 힐스테이트평택101동,1,AC완속,경기도,평택시,경기도 평택시 세교6로 46101동 지하2층 E47기둥,제한없음,교6로 46101동 지하2층 E47기둥
5773,에버온,경기평택 힐스테이트평택101동,2,AC완속,경기도,평택시,경기도 평택시 세교6로 46101동 지하2층 E47기둥,제한없음,교6로 46101동 지하2층 E47기둥
5774,에버온,경기평택 힐스테이트평택104동,1,AC완속,경기도,평택시,경기도 평택시 세교6로 46104동 지하2층 D11기둥,제한없음,교6로 46104동 지하2층 D11기둥
5775,에버온,경기평택 힐스테이트평택104동,2,AC완속,경기도,평택시,경기도 평택시 세교6로 46104동 지하2층 D11기둥,제한없음,교6로 46104동 지하2층 D11기둥
5776,에버온,경기하남 풍산우남퍼스트빌리젠트,1,AC완속,경기도,하남시,경기도 하남시 덕풍북로 110지하2층주차장 관리실입구 우측,제한없음,풍북로 110지하2층주차장 관리실입구 우측
5777,에버온,경기하남 한강미사아이에스비즈타워1,1,AC완속,경기도,하남시,경기도 하남시 미사대로 510(한강미사 아이에스비즈),제한없음,사대로 510(한강미사 아이에스비즈)
