,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
1530,한국전기차충전서비스,농협미래농업지원센터,2,DC차데모+AC3상+DC콤보,경기도,안성시,경기도 안성시 공도읍 대신두길 13,제한없음,도읍 대신두길 13
1531,한국전기차충전서비스,농협양주농수산물유통센터,1,AC완속,경기도,양주시,경기도 양주시 부흥로1907번길182,제한없음,흥로1907번길182
1532,한국전기차충전서비스,농협양주농수산물유통센터,2,AC완속,경기도,양주시,경기도 양주시 부흥로1907번길182,제한없음,흥로1907번길182
1533,한국전기차충전서비스,농협양주농수산물유통센터,3,AC완속,경기도,양주시,경기도 양주시 부흥로1907번길182,제한없음,흥로1907번길182
1534,한국전기차충전서비스,능곡공영주차장,1,DC차데모+AC3상+DC콤보,경기도,시흥시,경기도 시흥시 능곡동 614,제한없음,곡동 614
1535,한국전기차충전서비스,다산제2공영주차장,1,DC차데모+DC콤보,경기도,남양주시,경기도 남양주시 다산제2공영주차장,제한없음,
1536,한국전기차충전서비스,다산제2공영주차장,2,AC완속,경기도,남양주시,경기도 남양주시 다산제2공영주차장,제한없음,
1537,한국전기차충전서비스,단국대학교 죽전캠퍼스,1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 수지구 죽전로152,제한없음,지구 죽전로152
1538,한국전기차충전서비스,단국대학교 죽전캠퍼스,2,AC완속,경기도,용인시,경기도 용인시 수지구 죽전로152,제한없음,지구 죽전로152
1539,한국전기차충전서비스,단국대학교 죽전캠퍼스,3,AC완속,경기도,용인시,경기도 용인시 수지구 죽전로152,제한없음,지구 죽전로152
1540,한국전기차충전서비스,단국대학교 죽전캠퍼스,4,AC완속,경기도,용인시,경기도 용인시 수지구 죽전로152,제한없음,지구 죽전로152
1541,한국전기차충전서비스,단원보건소,1,AC완속,경기도,안산시,"경기도 안산시 단원구 화랑로 250(단원구청, 단원보건소)",제한없음,"원구 화랑로 250(단원구청, 단원보건소)"
1542,한국전기차충전서비스,단원보건소,2,AC완속,경기도,안산시,"경기도 안산시 단원구 화랑로 250(단원구청, 단원보건소)",제한없음,"원구 화랑로 250(단원구청, 단원보건소)"
1543,한국전기차충전서비스,대웅제약,1,AC완속,경기도,화성시,경기도 화성시 향남읍 제약공단4길 35-14(906-10 대웅제약),제한없음,남읍 제약공단4길 35-14(906-10 대웅제약)
1544,한국전기차충전서비스,대추나무집,1,AC완속,경기도,광주시,경기도 광주시 퇴촌면 천진암로 801주차장,제한없음,촌면 천진암로 801주차장
1545,한국전기차충전서비스,대추나무집,2,AC완속,경기도,광주시,경기도 광주시 퇴촌면 천진암로 801주차장,제한없음,촌면 천진암로 801주차장
1546,한국전기차충전서비스,대화마을동문3단지아파트,1,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1547,한국전기차충전서비스,대화마을동문3단지아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1548,한국전기차충전서비스,대화마을동문3단지아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1549,한국전기차충전서비스,대화마을동문3단지아파트,4,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1550,한국전기차충전서비스,대화마을동문3단지아파트,5,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1551,한국전기차충전서비스,대화마을동문3단지아파트,6,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1552,한국전기차충전서비스,대화마을동문3단지아파트,7,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1553,한국전기차충전서비스,대화마을동문3단지아파트,8,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1554,한국전기차충전서비스,대화마을동문3단지아파트,9,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1555,한국전기차충전서비스,대화마을동문3단지아파트,10,AC완속,경기도,고양시,경기도 고양시 일산서구 대화1로 51,제한없음,산서구 대화1로 51
1556,한국전기차충전서비스,덕풍공원 제1공영주차장,1,DC차데모+AC3상+DC콤보,경기도,하남시,경기도 하남시 덕풍공원로 80,제한없음,풍공원로 80
1557,한국전기차충전서비스,덕풍공원 제1공영주차장,2,AC완속,경기도,하남시,경기도 하남시 덕풍공원로 80,제한없음,풍공원로 80
1558,한국전기차충전서비스,덕풍공원 제2공영주차장,1,DC차데모+AC3상+DC콤보,경기도,하남시,경기도 하남시 덕풍공원로100,제한없음,풍공원로100
